apelido,clube,posicao,preco,pontos,variacao,media,jogos
Helinho,Bragantino,Atacante,13.92,15.0,8.92,15.0,1
Zé Roberto,Atlético-GO,Atacante,10.79,9.5,4.79,9.5,1
Renato Kayzer,Athlético-PR,Atacante,9.96,3.3,-1.04,3.3,1
Gilberto,Bahia,Atacante,4.39,1.3,-0.61,1.3,1
Eduardo Sasha,Atlético-MG,Atacante,7.0,0.0,0.0,0.0,0
Rossi,Bahia,Atacante,12.25,9.6,4.25,9.6,1
Yony González,Ceará,Atacante,2.37,-1.6,-2.63,-1.6,1
Perotti,Chapecoense,Atacante,6.2,2.9,0.2,2.9,1
Vargas,Atlético-MG,Atacante,6.82,0.8,-2.18,0.8,1
Diego Tardelli,Atlético-MG,Atacante,6.0,0.0,0.0,0.0,0
Mendoza,Ceará,Atacante,8.0,0.0,0.0,0.0,0
Victor Jacaré,Ceará,Atacante,3.0,0.0,0.0,0.0,0
Artur,Bragantino,Atacante,7.66,2.0,-1.34,2.0,1
Fred,Fluminense,Atacante,12.0,0.0,0.0,0.0,0
David,Fortaleza,Atacante,8.56,5.3,1.56,5.3,1
Wellington Paulista,Fortaleza,Atacante,4.59,-1.4,-3.41,-1.4,1
Ferreira,Grêmio,Atacante,11.0,0.0,0.0,0.0,0
Marinho,Santos,Atacante,20.19,6.0,-2.81,6.0,1
Diego Souza,Grêmio,Atacante,19.0,0.0,0.0,0.0,0
Leandro Carvalho,América-MG,Atacante,5.0,0.0,0.0,0.0,0
Lohan ,América-MG,Atacante,1.0,0.0,0.0,0.0,0
Marcelo Toscano,América-MG,Atacante,4.0,0.0,0.0,0.0,0
Reinaldo,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,0
Vinicius Mingotti,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,0
Carlos Alberto,América-MG,Atacante,2.0,0.0,0.0,0.0,0
André Luís,Atlético-GO,Atacante,4.0,0.0,0.0,0.0,0
Kawê,América-MG,Atacante,1.0,0.0,0.0,0.0,0
Luciano,São Paulo,Atacante,12.32,-0.3,-5.68,-0.3,1
Arthur Gomes,Atlético-GO,Atacante,5.0,0.0,0.0,0.0,0
Felipe Azevedo,América-MG,Atacante,6.34,5.1,2.34,5.1,1
Hulk,Atlético-MG,Atacante,17.68,12.4,4.68,12.4,1
Janderson,Atlético-GO,Atacante,5.0,0.0,0.0,0.0,0
Danilo Gomes,São Paulo,Atacante,4.0,0.0,0.0,0.0,0
Rodolfo José,América-MG,Atacante,7.24,3.4,0.24,3.4,1
Jô,Corinthians,Atacante,6.06,0.7,-1.94,0.7,1
Elton,Cuiabá,Atacante,10.79,8.5,3.79,8.5,1
Marrony,Atlético-MG,Atacante,5.29,1.6,-0.71,1.6,1
Savarino,Atlético-MG,Atacante,6.82,-0.2,-3.18,-0.2,1
Keno,Atlético-MG,Atacante,16.0,0.0,0.0,0.0,0
Echaporã,Atlético-MG,Atacante,2.0,0.0,0.0,0.0,0
Sávio,Atlético-MG,Atacante,3.41,1.9,0.41,1.9,1
Roberson,Juventude,Atacante,5.0,0.0,0.0,0.0,0
Pablo Dyego,Atlético-GO,Atacante,3.0,0.0,0.0,0.0,0
Eder,São Paulo,Atacante,6.34,1.1,-1.66,1.1,1
Maycon Douglas,Bahia,Atacante,2.09,-1.0,-1.91,-1.0,1
Pablo,São Paulo,Atacante,5.57,1.0,-1.43,1.0,1
Alesson,Bahia,Atacante,3.0,0.0,0.0,0.0,0
Joao Rojas,São Paulo,Atacante,6.4,3.2,0.4,3.2,1
Vitor Bueno,São Paulo,Atacante,6.0,0.0,0.0,0.0,0
Alerrandro,Bragantino,Atacante,7.0,0.0,0.0,0.0,0
Paulinho Bóia,São Paulo,Atacante,2.0,0.0,0.0,0.0,0
Ytalo,Bragantino,Atacante,11.0,7.8,3.0,7.8,1
Bruno Rodrigues,São Paulo,Atacante,3.0,0.0,0.0,0.0,0
Galeano,São Paulo,Atacante,3.0,0.0,0.0,0.0,0
Pedrinho,Bragantino,Atacante,3.34,0.8,-0.66,0.8,1
Leandrinho,Bragantino,Atacante,3.0,0.0,0.0,0.0,0
Cuello,Bragantino,Atacante,3.62,2.2,0.62,2.2,1
Chrigor,Bragantino,Atacante,2.0,0.0,0.0,0.0,0
Bruno Tubarão,Bragantino,Atacante,5.0,0.0,0.0,0.0,0
Luis Phelipe,Bragantino,Atacante,2.0,0.0,0.0,0.0,0
Thiago Galhardo,Internacional,Atacante,10.44,0.0,-4.56,0.0,1
Yuri Alberto,Internacional,Atacante,3.76,-0.6,-2.24,-0.6,1
Jael,Ceará,Atacante,6.0,0.0,0.0,0.0,0
Hurtado,Bragantino,Atacante,4.0,0.0,0.0,0.0,0
Romarinho,Fortaleza,Atacante,5.5,1.9,-0.5,1.9,1
Paolo Guerrero,Internacional,Atacante,13.0,0.0,0.0,0.0,0
Marcos Guilherme ,Santos,Atacante,3.97,0.7,-1.03,0.7,1
Felipe Vizeu,Ceará,Atacante,5.0,0.0,0.0,0.0,0
Caio Vidal,Internacional,Atacante,5.57,3.0,0.57,3.0,1
Palacios,Internacional,Atacante,2.99,-1.7,-3.01,-1.7,1
Rony,Palmeiras,Atacante,9.54,1.7,-2.46,1.7,1
Peglow,Internacional,Atacante,3.0,0.0,0.0,0.0,0
Maxi Zalazar,Internacional,Atacante,2.0,0.0,0.0,0.0,0
Mike,Chapecoense,Atacante,2.16,0.1,-0.84,0.1,1
Saulo Mineiro,Ceará,Atacante,8.42,7.1,3.42,7.1,1
Geuvânio,Chapecoense,Atacante,3.83,1.5,-0.17,1.5,1
Thiago Ribeiro,Chapecoense,Atacante,4.0,0.0,0.0,0.0,0
Breno Lopes,Palmeiras,Atacante,6.0,0.0,0.0,0.0,0
Anselmo Ramon,Chapecoense,Atacante,4.39,0.3,-1.61,0.3,1
Willian,Palmeiras,Atacante,9.0,0.0,0.0,0.0,0
Rick,Ceará,Atacante,10.58,12.2,7.58,12.2,1
Cléber,Ceará,Atacante,12.81,11.4,5.81,11.4,1
Paulinho Moccelin,Sport,Atacante,4.53,2.5,0.53,2.5,1
Bruno Silva,Chapecoense,Atacante,1.95,-0.2,-1.05,-0.2,1
Fernandinho,Chapecoense,Atacante,1.0,0.0,0.0,0.0,0
Rafael Elias,Cuiabá,Atacante,1.32,-0.1,-0.68,-0.1,1
