apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Luan Peres ,Santos,Zagueiro,6.47,1.3,-1.53,1.3,1,1
Víctor Cuesta,Internacional,Zagueiro,10.65,-0.7,-5.35,-0.7,1,1
Gustavo Gómez,Palmeiras,Zagueiro,12.67,1.2,-4.33,1.2,1,1
Eduardo Bauermann,América-MG,Zagueiro,2.23,-0.8,-1.77,-0.8,1,1
Ricardo Silva,América-MG,Zagueiro,3.0,0.0,0.0,0.0,1,0
Aguilar,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,1,0
Michel,Atlético-GO,Zagueiro,1.0,0.0,0.0,0.0,1,0
Lucas Halter,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,1,0
Réver,Atlético-MG,Zagueiro,8.0,0.0,0.0,0.0,1,0
Anderson Jesus,América-MG,Zagueiro,2.09,0.0,-0.91,0.0,1,1
Zé Ivaldo,Athlético-PR,Zagueiro,3.0,0.0,0.0,0.0,1,0
Conti,Bahia,Zagueiro,7.45,4.7,1.45,4.7,1,1
Gabriel,Atlético-MG,Zagueiro,6.0,0.0,0.0,0.0,1,0
Bruno Alves,São Paulo,Zagueiro,10.37,5.9,1.37,5.9,1,1
Júnior Alonso,Atlético-MG,Zagueiro,8.77,0.6,-3.23,0.6,1,1
Luiz Otávio ,Bahia,Zagueiro,5.0,0.0,0.0,0.0,1,0
Miranda,São Paulo,Zagueiro,10.72,7.4,2.72,7.4,1,1
Arboleda,São Paulo,Zagueiro,9.0,0.0,0.0,0.0,1,0
Lucas Fonseca,Bahia,Zagueiro,6.0,0.0,0.0,0.0,1,0
Juninho,Bahia,Zagueiro,12.81,13.4,7.81,13.4,1,1
Bueno,Atlético-MG,Zagueiro,3.0,0.0,0.0,0.0,1,0
Fabrício Bruno,Bragantino,Zagueiro,12.32,13.7,8.32,13.7,1,1
Ligger,Bragantino,Zagueiro,6.0,0.0,0.0,0.0,1,0
Diego,São Paulo,Zagueiro,4.0,0.0,0.0,0.0,1,0
