apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Dado Cavalcanti,Bahia,Tecnico,7.12,6.23,3.12,6.23,1,1
Hernán Crespo,São Paulo,Tecnico,10.81,5.53,0.81,5.53,1,1
Miguel Ángel Ramírez,Internacional,Tecnico,6.96,1.99,-1.04,1.99,1,1
Umberto Louzer,Sport,Tecnico,3.82,3.49,1.82,3.49,1,1
Abel Ferreira,Palmeiras,Tecnico,10.29,2.78,-1.71,2.78,1,1
Marquinhos Santos,Juventude,Tecnico,4.01,2.76,1.01,2.76,1,1
António Oliveira,Athlético-PR,Tecnico,6.94,4.97,1.94,4.97,1,1
Lisca,América-MG,Tecnico,3.94,1.66,-0.06,1.66,1,1
Cuca,Atlético-MG,Tecnico,9.07,2.03,-1.93,2.03,1,1
Guto Ferreira,Ceará,Tecnico,8.31,3.94,0.31,3.94,1,1
Maurício Barbieri,Bragantino,Tecnico,10.96,8.74,3.96,8.74,1,1
Rogério Ceni,Flamengo,Tecnico,12.09,5.36,0.09,5.36,1,1
Roger Machado ,Fluminense,Tecnico,7.01,4.07,1.01,4.07,1,1
Tiago Nunes,Grêmio,Tecnico,6.62,2.51,-0.38,2.51,1,1
Juan Vojvoda,Fortaleza,Tecnico,5.52,3.93,1.52,3.93,1,1
Fernando Diniz,Santos,Tecnico,4.36,1.26,-0.64,1.26,1,1
Sylvinho,Corinthians,Tecnico,4.76,0.84,-1.24,0.84,1,1
Luiz Fernando Iubel,Cuiabá,Tecnico,3.93,0.0,0.0,0.0,1,0
Eduardo Barroca,Atlético-GO,Tecnico,7.09,7.18,4.09,7.18,1,1
Felipe Endres,Chapecoense,Tecnico,2.47,1.55,0.47,1.55,1,1
